code,description,classification
QE41,Problem associated with imprisonment and other incarceration,not a valid entry
QE42,Problem related to release from prison,not a valid entry
QE4Y,Other specified problems associated with the justice system,not a valid entry
QE4Z,Problems associated with the justice system unspecified,not a valid entry
QE50.0,Problem associated with relationship with friend,not a valid entry
QE50.10,Dissatisfaction with school environment,not a valid entry
QE50.1Y,Other specified relationships with teachers or classmates,not a valid entry
QE50.1Z,Relationships with teachers or classmates unspecified,not a valid entry
QE50.2,Problem associated with relationships with people at work,not a valid entry
QE50.3,Relationships with neighbours tenant or landlord,not a valid entry
QE50.4,Relationship with parents in-laws or other family members,not a valid entry
QE50.5,Discord with counsellors,not a valid entry
QE50.6,Inadequate social skills,not a valid entry
QE50.7,Personality difficulty,mental disease
QE50.Y,Other specified problem associated with interpersonal interactions,not a valid entry
QE51.0,Relationship distress with spouse or partner,not a valid entry
QE51.1,History of spouse or partner violence,not a valid entry
QE52.0,Caregiver-child relationship problem,not a valid entry
QE52.1,Loss of love relationship in childhood,not a valid entry
QE5Y,Other specified problems associated with relationships,not a valid entry
QE5Z,Problems associated with relationships unspecified,not a valid entry
QE60,Absence of family member,not a valid entry
QE61.0,Loss or death of child,mental disease
QE61.Y,Disappearance or death of other family member,mental disease
QE62,Uncomplicated bereavement,mental disease
QE6Y,Other specified problems associated with absence loss or death of others,mental disease
QE6Z,Problems associated with absence loss or death of others unspecified,not a valid entry
QE70.0,Inadequate family support,not a valid entry
QE70.1,Disruption of family by separation or divorce,not a valid entry
QE70.2,Dependent relative needing care at home,not a valid entry
QE70.Z,Problems related to primary support group including family circumstances unspecified,not a valid entry
QE80,Victim of crime or terrorism,mental disease
QE81,Exposure to disaster war or other hostilities,mental disease
QE82.0,Personal history of physical abuse,not a valid entry
QE82.1,Personal history of sexual abuse,not a valid entry
QE82.2,Personal history of psychological abuse,not a valid entry
QE82.3,Personal history of neglect,not a valid entry
QE82.Y,Other specified personal history of maltreatment,not a valid entry
QE82.Z,Personal history of maltreatment unspecified,not a valid entry
QE83,Personal frightening experience in childhood,mental disease
QE84,Acute stress reaction,mental disease
QE8Y,Other specified problems associated with harmful or traumatic events,mental disease
QE8Z,Problems associated with harmful or traumatic events unspecified,not a valid entry
QE90,Inadequate parental supervision or control,not a valid entry
QE91,Parental overprotection,not a valid entry
QE92,Altered pattern of family relationships in childhood,not a valid entry
QE93,Removal from home in childhood,not a valid entry
QE94,Institutional upbringing,not a valid entry
QE95,Inappropriate parental pressure or other abnormal qualities of upbringing,not a valid entry
QE96,Events resulting in loss of self-esteem in childhood,mental disease
QE9Y,Other specified problems associated with upbringing,not a valid entry
QE9Z,Problems associated with upbringing unspecified,not a valid entry
QF00,Acquired absence of limb,not a valid entry
QF01.0,Acquired absence of breast,not a valid entry
QF01.10,Acquired absence of female genital organs,not a valid entry
QF01.11,Acquired absence of male genital organs,not a valid entry
QF01.Y,Other specified acquired absence of organs,not a valid entry
QF01.Z,Acquired absence of organs unspecified,not a valid entry
QF0Y,Other specified acquired absence of body structure,not a valid entry
QF0Z,Acquired absence of body structure unspecified,not a valid entry
QF10,Limited function or disability of body organ or system,not a valid entry
QF20,Difficulty or need for assistance with learning,not a valid entry
QF21,Difficulty or need for assistance with general life tasks or life management,not a valid entry
QF22,Difficulty or need for assistance with communication,not a valid entry
QF23,Difficulty or need for assistance with mobility,not a valid entry
QF24,Difficulty or need for assistance with self-care,not a valid entry
QF25,Difficulty or need for assistance with relationships,not a valid entry
QF26,Difficulty or need for assistance with household tasks,not a valid entry
QF27,Difficulty or need for assistance at home and no other household member able to render care,not a valid entry
QF28,Difficulty or need for assistance with work activities,not a valid entry
QF29,Difficulty or need for assistance with major areas of life,not a valid entry
QF2A,Difficulty or need for assistance with community participation,not a valid entry
QF2B,Need for continuous supervision,not a valid entry
QF2Y,Difficulty or need for assistance with other specified activity,not a valid entry
QF2Z,Difficulty or need for assistance with unspecified activity,not a valid entry
QF4Y,Other specified factors influencing health status or contact with health services,not a valid entry
QF4Z,Factors influencing health status or contact with health services unspecified,not a valid entry
RA00,International emergency code 01,not a valid entry
RA01,International emergency code 02,not a valid entry
RA02,International emergency code 03,not a valid entry
RA03,International emergency code 04,not a valid entry
RA04,International emergency code 05,not a valid entry
RA05,International emergency code 06,not a valid entry
RA06,International emergency code 07,not a valid entry
RA07,International emergency code 08,not a valid entry
RA08,International emergency code 09,not a valid entry
RA09,International emergency code 10,not a valid entry
RA20,National emergency code 01,not a valid entry
RA21,National emergency code 02,not a valid entry
RA22,National emergency code 03,not a valid entry
RA23,National emergency code 04,not a valid entry
RA24,National emergency code 05,not a valid entry
RA25,National emergency code 06,not a valid entry
RA26,National emergency code 07,not a valid entry
SA00,Hypochondrium pain disorder (TM1),not a valid entry
SA01,Jaundice disorder (TM1),not a valid entry
SA02,Liver distension disorder (TM1),not a valid entry
SA03,Tympanites disorder (TM1),not a valid entry
SA04,Liver abscess disorder (TM1),not a valid entry
SA05,Gallbladder distension disorder (TM1),not a valid entry
SA0Y,Other specified liver system disorders (TM1),not a valid entry
SA0Z,Liver system disorders (TM1) unspecified,not a valid entry
SA10,Inducible palpitation disorder (TM1),not a valid entry
SA11,Spontaneous palpitation disorder (TM1),not a valid entry
SA1Y,Other specified palpitation disorders (TM1),not a valid entry
SA1Z,Palpitation disorders (TM1) unspecified,not a valid entry
SA20,True heart pain disorder (TM1),not a valid entry
SA2Y,Other specified chest impediment disorders (TM1),not a valid entry
SA2Z,Chest impediment disorders (TM1) unspecified,not a valid entry
SA4Y,Other specified heart system disorders (TM1),not a valid entry
SA4Z,Heart system disorders (TM1) unspecified,not a valid entry
SA50,Dysphagia disorder (TM1),not a valid entry
SA51,Stomach ache disorder (TM1),not a valid entry
SA52,Epigastric distension disorder (TM1),not a valid entry
SA53,Epigastric upset disorder (TM1),not a valid entry
SA54,Food retention disorder (TM1),not a valid entry
SA55,Diarrhea disorder (TM1),common disease
SA56,Dysentery disorder (TM1),common disease
SA57,Constipation disorder (TM1),common disease
SA58,Abdominal pain disorder (TM1),not a valid entry
SA59,Intestinal abscess disorder (TM1),not a valid entry
SA5Y,Other specified spleen system disorders (TM1),not a valid entry
SA5Z,Spleen system disorders (TM1) unspecified,not a valid entry
SA60,Common cold disorder (TM1),common disease
SA70,Cough with dyspnea disorder (TM1),not a valid entry
SA7Y,Other specified cough disorders (TM1),not a valid entry
SA7Z,Cough disorders (TM1) unspecified,not a valid entry
SA80,Dyspnea disorder (TM1),not a valid entry
SA81,Wheezing disorder (TM1),not a valid entry
SA82,Lung distension disorder (TM1),not a valid entry
SA83,Pleural fluid retention disorder (TM1),not a valid entry
SA84,Lung heat disorder (TM1),not a valid entry
SA85,Lung withering disorder (TM1),not a valid entry
